symbol,date,returns,year
ADP,2013-12-31,0.41942990121656853,2013
ADP,2014-12-31,0.20349298759850742,2014
ADP,2015-12-31,0.04100718959246907,2015
ADP,2016-12-30,0.24290096406366235,2016
ADP,2017-12-29,0.16541195241713957,2017
ADP,2018-12-31,0.14254802780723463,2018
ADP,2019-12-31,0.3270769170550114,2019
ADP,2020-12-31,0.05856738992299859,2020
ADP,2021-12-30,0.42011649743842927,2021
ADS,2013-12-31,0.7641571752429335,2013
ADS,2014-12-31,0.08793216686309946,2014
ADS,2015-12-31,-0.033141077317802026,2015
ADS,2016-12-30,-0.1717013296800104,2016
ADS,2017-12-29,0.1191883857577154,2017
ADS,2018-12-31,-0.4017535587859058,2018
ADS,2019-12-31,-0.23821536934570997,2019
ADS,2020-12-31,-0.32696570047776996,2020
ADS,2021-12-30,0.14351951617450331,2021
ADXS,2013-12-31,0.16965513563218382,2013
ADXS,2014-12-31,0.8891510342500326,2014
ADXS,2015-12-31,0.255930016547149,2015
ADXS,2016-12-30,-0.28827033618039766,2016
ADXS,2017-12-29,-0.6033519813156056,2017
ADXS,2018-12-31,-0.9330985884083844,2018
ADXS,2019-12-31,-0.6989473684210527,2019
ADXS,2020-12-31,-0.5932400932400932,2020
ADXS,2021-12-30,-0.5702005730659025,2021
AEE,2013-12-31,0.2095775488951095,2013
AEE,2014-12-31,0.32749879093264767,2014
AEE,2015-12-31,-0.02330324742458678,2015
AEE,2016-12-30,0.25679332977976177,2016
AEE,2017-12-29,0.15927923202903438,2017
AEE,2018-12-31,0.139931494096998,2018
AEE,2019-12-31,0.2081531127928915,2019
AEE,2020-12-31,0.04256592515674695,2020
AEE,2021-12-30,0.17158992504731563,2021
AERG,2021-12-30,5.803519061583577,2021
AES,2013-12-31,0.3360187929187619,2013
AES,2014-12-31,-0.03744123027676938,2014
AES,2015-12-31,-0.28204898732460904,2015
AES,2016-12-30,0.2638608521592376,2016
AES,2017-12-29,-0.02689418290764578,2017
AES,2018-12-31,0.39020601304658054,2018
AES,2019-12-31,0.421595115990679,2019
AES,2020-12-31,0.2214717178356289,2020
AES,2021-12-30,0.05378810008589019,2021
AFSI,2013-12-31,0.23974535802994423,2013
AFSI,2014-12-31,0.7551100193058202,2014
AFSI,2015-12-31,0.11488790007827387,2015
AFSI,2016-12-30,-0.08865753813283217,2016
AFSI,2017-12-29,-0.613481699330637,2017
AFSI,2018-12-10,0.4849256887815223,2018
AGC,2020-12-31,0.08158116063919252,2020
AGC,2021-12-01,-0.14385692068429234,2021
AGCO,2013-12-31,0.18565058336356666,2013
AGCO,2014-12-31,-0.2295972041705907,2014
